Item Code,Item Name,Category,Price (₹),Description
I01,Steamed Idli (2 pcs),Idlis,60,"Served with piping hot sambar and fresh coconut chutney; made from premium aged Sona Masuri rice"
I02,Mini Ghee Idli (14 pcs),Idlis,80,"Soaked in pure A2 desi ghee with podi spice; a melt-in-the-mouth delicacy using traditional stone-ground batter"
I03,Thatte Idli,Idlis,70,"The famous plate-sized soft idli from Karnataka, served with our signature spicy tomato-garlic chutney"
D01,Classic Masala Dosa,Dosa,70,"Stuffed with a spiced potato mash and served with dual chutneys; fermented naturally for a perfectly crisp exterior"
D02,Ghee Roast Dosa,Dosa,90,"Roasted to golden perfection using pure, farm-fresh ghee sourced directly from local dairies"
D03,Mysore Masala Dosa,Dosa,90,"Smeared with a fiery, in-house red garlic paste and served with premium coconut chutney and sambar"
D04,Rava Dosa,Dosa,80,"A crispy, lacy semolina crepe studded with cumin; made from the highest-grade double-roasted rava"
V01,Crispy Medu Vada (2 pcs),Vadas,60,"Two golden, donut-shaped lentil fritters served with sambar; strictly fried in premium cold-pressed sunflower oil"
V02,Rasam Vada,Vadas,70,"Medu vada soaked in a tangy, peppery tamarind broth infused with fresh, hand-picked curry leaves"
R01,Ven Pongal,Rice & Meals,70,"A comforting mix of rice and yellow lentils tempered with black pepper and cashews; rich in pure ghee"
R02,Bisi Bele Bath,Rice & Meals,80,"A spicy, wholesome rice and lentil dish loaded with vegetables and authentic, slow-roasted Karnataka spices"
R03,Curd Rice,Rice & Meals,60,"Cooling yogurt mixed with soft rice, tempered with mustard seeds; garnished with fresh pomegranate seeds"
R04,Lemon Rice,Rice & Meals,60,"Tangy lemon-infused rice tempered with crunchy peanuts and turmeric; a zesty, staple comfort food"
S01,Onion Uttapam,Specials & Beverages,70,"A thick, savory pancake topped with caramelized onions and green chilies; batter fermented naturally for 12 hours"
S02,Appam with Veg Stew,Specials & Beverages,90,"Soft, lacy rice hoppers served alongside a mild, fragrant coconut milk and mixed vegetable stew"
B01,Authentic Filter Coffee,Specials & Beverages,50,"Brewed fresh using a traditional brass filter with a premium 80/20 Arabica-chicory blend sourced directly from Coorg"
B02,Sweet Kesari Bath,Specials & Beverages,60,"A rich semolina dessert flavored with saffron strands and roasted cashews; the perfect sweet finish"
