Item Name,Base Cost (₹),Optimized Price (₹)
Aloo Paratha,29.85,63.68
Paneer Butter Masala,50.0,74.26
Chicken Biryani,60.0,79.5
Palak Paneer,45.0,71.63
Veg Pulao,38.0,67.96
French Fries,28.0,62.71
Jeera Rice,30.0,63.76
Tomato Soup,33.0,65.34
Garlic Bread,30.0,63.76
Mint Lemonade,23.0,60.09
Masala Chai,22.0,59.56
Cold Coffee,27.0,62.19
Chicken Curry,52.0,75.31
Paneer Tikka,47.0,72.68
Veg Sandwich,33.0,65.34
Onion Pakora,29.0,63.24
Potato Wedges,28.0,62.71
Spinach Corn Sandwich,35.0,66.38
Lemon Rice,33.0,65.34
Veg Biryani,52.0,75.31
